dataset,model,mse_mean,mse_std,mae_mean,mae_std,raw_rmse_mean,seconds_mean,parameters,n_channels
abilene,dlinear,0.1941924151033163,0.001724179393133295,0.18882445991039276,0.008075634333448127,12979539072.0,14.61015954999948,4656,144
abilene,dlinear_scale,0.18881972879171371,0.0030636319834867146,0.1732841394841671,0.008013800583559192,12979525632.0,52.472290674999385,8339,144
abilene,dlinear_scale_static,0.1920209489762783,0.0019808683419138516,0.19050568155944347,0.005564834693590669,12979537920.0,19.07549909999898,8208,144
abilene,lightts,0.2654444674650828,0.011270268728989164,0.20425493021806082,0.007576771611138279,186262735872.0,283.03022863333416,130162,144
geant,dlinear,0.4367985613644123,0.015673528954557044,0.3705250322818756,0.011265989902057896,30256.535400390625,18.89608452499988,4656,524
geant,dlinear_scale,0.42644599825143814,0.029193191624283875,0.36550799384713173,0.018226375056436987,30496.985107421875,32.7256603124988,8339,524
geant,dlinear_scale_static,0.4473838619887829,0.01449328334283358,0.37736503779888153,0.00945858905875382,31389.862060546875,32.48493669999948,8208,524
geant,lightts,0.8166328271230062,0.023965198539836967,0.522702177365621,0.013541819141919289,38105.157552083336,443.374537633333,384382,524
