model,seed,parameters,mse,mae,rmse,raw_rmse,seconds
dlinear_freq,42,4668,0.19882097840309143,0.19136914610862732,0.44589346647262573,12979538944.0,19.32135769999968
dlinear_freq,43,4668,0.20306994020938873,0.18951939046382904,0.45063281059265137,12979602432.0,22.4200436000001
dlinear_freq,44,4668,0.1992085874080658,0.19907020032405853,0.44632789492607117,12979539968.0,18.340709699999934
proposed,42,8360,0.20838283002376556,0.18451358377933502,0.4564896821975708,12979527680.0,122.88854360000005
proposed,43,8360,0.1948009580373764,0.1803692877292633,0.4413626194000244,12979527680.0,83.48058639999999
proposed,44,8360,0.20213863253593445,0.18225908279418945,0.4495983123779297,12979528704.0,48.26727800000026
