setting,seed,fixed_mse,adaptive_mse
无频域门控,42,0.1931266784667968,0.1855234950780868
无频域门控,43,0.1930994987487793,0.1844546049833297
无频域门控,44,0.1950234174728393,0.1883194744586944
频域门控，r = 0.50,42,0.1992408335208892,0.190832108259201
频域门控，r = 0.50,43,0.1990174651145935,0.187635138630867
频域门控，r = 0.50,44,0.2028923779726028,0.1988297402858734
频域门控，r = 0.75,42,0.1960080116987228,0.1872505098581314
频域门控，r = 0.75,43,0.1959282010793686,0.1857932358980178
频域门控，r = 0.75,44,0.1984908133745193,0.1952987015247345
