model,cut_ratio,mse_mean,mse_std,mae_mean,mae_std,seconds_mean
dlinear_freq,0.25,0.2003665020068486,0.0023492538754675,0.1933195789655049,0.0050653364639928,20.02737033333324
dlinear_freq,0.5,0.1971811403830846,0.0006553320762778,0.1917560050884882,0.0077119311676511,19.784094199999952
dlinear_freq,0.75,0.1954777091741562,0.0011382031744489,0.1900407324234644,0.0087110490538819,19.98794623333318
proposed,0.25,0.2017741401990254,0.0067982683575609,0.1823806514342626,0.002074820868978,84.87880266666677
proposed,0.5,0.1924323290586471,0.005766307874958,0.1734383851289749,0.0008131200687725,92.39663553333352
proposed,0.75,0.1894474824269612,0.0051194223840503,0.1705434223016103,0.0007285360664954,93.9317585000002
