seed,test_window_index,scale,router_weight
42,0,1,0.2387651652097702
42,0,2,0.16038517653942108
42,0,4,0.6008496284484863
42,1,1,0.23666228353977203
42,1,2,0.15955889225006104
42,1,4,0.6037788391113281
42,2,1,0.2302925139665604
42,2,2,0.1569070070981979
42,2,4,0.6128005385398865
42,3,1,0.2448188215494156
42,3,2,0.16286616027355194
42,3,4,0.5923150777816772
42,4,1,0.24847884476184845
42,4,2,0.16431854665279388
42,4,4,0.5872026681900024
42,5,1,0.2540758848190308
42,5,2,0.1665486246347427
42,5,4,0.5793755054473877
42,6,1,0.2545948326587677
42,6,2,0.1667378693819046
42,6,4,0.5786672234535217
42,7,1,0.2662883996963501
42,7,2,0.1712450236082077
42,7,4,0.5624666213989258
42,8,1,0.26564478874206543
42,8,2,0.17102451622486115
42,8,4,0.5633307099342345
42,9,1,0.27190467715263367
42,9,2,0.17343024909496307
42,9,4,0.5546650886535645
42,10,1,0.2535658180713653
42,10,2,0.16660000383853912
42,10,4,0.5798342227935791
42,11,1,0.2474728226661682
42,11,2,0.1643724739551544
42,11,4,0.5881547927856445
42,12,1,0.2494438737630844
42,12,2,0.16534993052482605
42,12,4,0.5852062106132507
42,13,1,0.24322056770324707
42,13,2,0.16306486725807187
42,13,4,0.5937145948410033
42,14,1,0.2443370819091797
42,14,2,0.16370590031147003
42,14,4,0.5919570326805115
42,15,1,0.23644164204597476
42,15,2,0.16068442165851593
42,15,4,0.6028739809989929
42,16,1,0.22455063462257385
42,16,2,0.15585029125213623
42,16,4,0.6195990443229675
42,17,1,0.2375585436820984
42,17,2,0.1614845097064972
42,17,4,0.6009569764137268
42,18,1,0.23667044937610623
42,18,2,0.16130216419696808
42,18,4,0.6020273566246033
42,19,1,0.21549443900585172
42,19,2,0.1521545648574829
42,19,4,0.6323510408401489
42,20,1,0.22723832726478577
42,20,2,0.15750733017921448
42,20,4,0.6152543425559998
42,21,1,0.2532779276371002
42,21,2,0.16826431453227997
42,21,4,0.5784578323364258
42,22,1,0.2458512634038925
42,22,2,0.1653981655836105
42,22,4,0.5887505412101746
42,23,1,0.2374272346496582
42,23,2,0.16203205287456512
42,23,4,0.6005407571792603
42,24,1,0.2520162761211395
42,24,2,0.16803352534770963
42,24,4,0.5799501538276672
42,25,1,0.2600644528865814
42,25,2,0.17132538557052612
42,25,4,0.5686101913452148
42,26,1,0.2573387026786804
42,26,2,0.1703734993934631
42,26,4,0.5722877979278564
42,27,1,0.27454274892807007
42,27,2,0.17705465853214264
42,27,4,0.5484026074409485
42,28,1,0.26773008704185486
42,28,2,0.1746433973312378
42,28,4,0.5576265454292296
