model,mse_mean,mse_std,mae_mean,mae_std,raw_rmse_mean,seconds_mean
dlinear,0.1939833164215088,0.0015669141576124,0.187988132238388,0.0094219347490663,12979539968.0,17.096496899999693
fits,0.2022296239932378,0.001971707158398,0.1982985933621724,0.003818374715986,12983703210.666666,17.753831166666714
dlinear_freq,0.1971811403830846,0.0006553320762778,0.1917560050884882,0.0077119311676511,12979548160.0,20.138969166666964
proposed,0.1924323290586471,0.005766307874958,0.1734383851289749,0.0008131200687725,12979521877.333334,90.36347719999988
dlinear_scale,0.1860991915067037,0.0019957138569552,0.1682026634613672,0.000582519579482,12979522901.333334,63.99941400000019
