model,mse_mean,mse_std,mae_mean,mae_std,seconds_mean
dlinear_scale,0.1860991915067037,0.0019957138569552117,0.16820266346136728,0.0005825195794820233,307.6833623000002
dlinear_scale_static,0.19374986489613852,0.0011030126057683539,0.18980199098587036,0.005235575375108895,24.38494300000002
proposed,0.19243232905864716,0.005766307874958031,0.17343838512897491,0.0008131200687725219,432.31599776666616
proposed_static,0.20038355886936188,0.002175569656623958,0.1951546917359034,0.005022226653986315,216.93425969999953
