experiment,model,seed,cut_ratio,mse,mae,rmse,parameters,seconds
final_cut075_weight_ablation,proposed_static,42,0.75,0.19600801169872284,0.1892322152853012,0.4427279233932495,8271,28.19773040000109
final_cut075_weight_ablation,proposed_static,43,0.75,0.1959282010793686,0.19886647164821625,0.44263777136802673,8271,27.96530949999942
final_cut075_weight_ablation,proposed_static,44,0.75,0.19849081337451935,0.19006720185279846,0.44552308320999146,8271,30.220366900000954
frequency_cut_075,proposed_adaptive,42,0.75,0.1872505098581314,0.17002986371517181,0.4327245056629181,8402,104.97152929999993
frequency_cut_075,proposed_adaptive,43,0.75,0.18579323589801788,0.1702231764793396,0.43103739619255066,8402,85.89844910000011
frequency_cut_075,proposed_adaptive,44,0.75,0.1952987015247345,0.17137722671031952,0.44192612171173096,8402,90.92529710000053
