model,cut_ratio,mse_mean,mse_std,mae_mean,mae_std,seconds_mean
dlinear_freq,0.25,0.20036650200684866,0.002349253875467521,0.19331957896550497,0.005065336463992802,20.027370333333238
dlinear_freq,0.5,0.19718114038308462,0.0006553320762778906,0.19175600508848825,0.007711931167651162,19.784094199999952
dlinear_freq,0.75,0.1954777091741562,0.0011382031744489166,0.19004073242346445,0.008711049053881917,19.98794623333318
proposed,0.25,0.20177414019902548,0.006798268357560967,0.1823806514342626,0.0020748208689780746,84.87880266666677
proposed,0.5,0.19243232905864716,0.005766307874958031,0.17343838512897491,0.0008131200687725219,92.39663553333351
proposed,0.75,0.18944748242696127,0.005119422384050359,0.17054342230161032,0.0007285360664954934,93.93175850000019
