dataset,seed,fixed_mse,adaptive_mse,mse_delta_adaptive_minus_fixed,mse_improve_pct,fixed_mae,adaptive_mae,mae_delta_adaptive_minus_fixed,mae_improve_pct,fixed_rmse,adaptive_rmse
abilene,42,0.193126678467,0.185523495078,-0.00760318338871,3.93688922166,0.186702370644,0.168046891689,-0.0186554789543,9.99209538154,0.439461797476,0.430724382401
abilene,43,0.193099498749,0.184454604983,-0.00864489376545,4.47691155154,0.19584685564,0.168847233057,-0.0269996225834,13.7860893886,0.439430892467,0.429481774569
abilene,44,0.195023417473,0.188319474459,-0.00670394301414,3.43750668562,0.186856746674,0.167713865638,-0.0191428810358,10.2446828261,0.441614568233,0.433957904577
abilene,45,0.190392777324,0.192634746432,0.00224196910858,-1.17754945334,0.198909282684,0.168487131596,-0.0304221510887,15.2944853444,0.436340212822,0.438901752234
abilene,46,0.192011252046,0.193054631352,0.00104337930679,-0.543394876955,0.195710584521,0.173685491085,-0.0220250934362,11.2539102012,0.438190877438,0.439379811287
abilene,47,0.192806079984,0.1902346313,-0.00257144868374,1.33369688547,0.187877967954,0.185509726405,-0.00236824154854,1.26052116399,0.43909689784,0.436158955097
abilene,48,0.19115909934,0.188477382064,-0.00268171727657,1.40287189353,0.183197557926,0.186245560646,0.00304800271988,-1.6637791215,0.437217444181,0.434139817953
abilene,49,0.188548788428,0.187858864665,-0.000689923763275,0.365912594308,0.188944086432,0.167737215757,-0.0212068706751,11.223886958,0.434222042561,0.433426886797
geant,42,0.437869161367,0.398750334978,-0.0391188263893,8.93390762372,0.37271463871,0.349541395903,-0.0231732428074,6.21742223155,0.66171681881,0.631466805935
geant,43,0.436474233866,0.492200404406,0.0557261705399,-12.7673448319,0.369571059942,0.404922097921,0.0353510379791,-9.56542376036,0.660661995411,0.701569974422
geant,44,0.434566348791,0.411682158709,-0.0228841900825,5.26598300725,0.369110763073,0.354404777288,-0.0147059857845,3.9841660704,0.659216463566,0.641624629498
geant,45,0.434914380312,0.434136897326,-0.00077748298645,0.178766907154,0.368920087814,0.373620450497,0.00470036268234,-1.27408694663,0.659480392933,0.658890664577
geant,46,0.455849796534,0.431998729706,-0.0238510668278,5.23222057115,0.383417338133,0.371808350086,-0.0116089880466,3.02776815028,0.675166487694,0.657266080379
geant,47,0.474755585194,0.409959673882,-0.0647959113121,13.6482673049,0.394942343235,0.353521972895,-0.0414203703403,10.4877005593,0.689025104046,0.64028096199
geant,48,0.458297014236,0.409556686878,-0.0487403273582,10.6350959845,0.384793102741,0.353911966085,-0.0308811366558,8.02538726287,0.676976382732,0.639966189861
geant,49,0.44634437561,0.423283100128,-0.0230612754822,5.16670014059,0.375450968742,0.362332940102,-0.0131180286407,3.49393921787,0.668090105057,0.65060210228
