dataset,seed,test_window_index,alpha_1,alpha_2,alpha_4
abilene,42,75,0.23481038212776184,0.16488027572631836,0.6003093719482422
abilene,42,76,0.24006049335002896,0.1671583652496338,0.5927811861038208
abilene,42,77,0.23594214022159576,0.16537201404571533,0.5986858010292053
abilene,42,78,0.24619027972221372,0.16981276869773865,0.5839969515800476
abilene,42,79,0.24326053261756897,0.16858038306236267,0.5881590843200684
abilene,42,80,0.2441017180681229,0.16897249221801755,0.5869258046150208
abilene,42,81,0.22846367955207825,0.16216319799423215,0.6093730926513672
abilene,42,82,0.2157517969608307,0.15487705171108243,0.6293711066246033
abilene,42,83,0.20326113700866696,0.1469295024871826,0.6498093008995056
abilene,42,84,0.19807574152946472,0.14357390999794006,0.6583502888679504
abilene,42,85,0.19505904614925385,0.1411394476890564,0.6638016104698181
abilene,42,86,0.1941879838705063,0.140432208776474,0.6653797626495361
abilene,42,87,0.19478596746921537,0.14090482890605927,0.6643092036247252
abilene,42,88,0.19113339483737943,0.13797111809253693,0.6708953976631165
abilene,42,89,0.1915627121925354,0.13830982148647308,0.6701275110244751
abilene,42,90,0.19352449476718905,0.1398678570985794,0.6666076183319092
abilene,42,91,0.19699859619140625,0.14264211058616638,0.6603593230247498
abilene,42,92,0.20294938981533048,0.1466347575187683,0.6504158973693848
abilene,42,93,0.21406126022338867,0.1537262499332428,0.632212460041046
abilene,42,94,0.2194146513938904,0.15708601474761963,0.6234992742538452
abilene,42,95,0.2144785225391388,0.15392619371414185,0.6315953135490417
abilene,42,96,0.2154579609632492,0.15450778603553772,0.6300342679023743
abilene,42,97,0.21518810093402865,0.15435190498828888,0.6304600834846497
abilene,42,98,0.2236691415309906,0.1595931500196457,0.6167377233505249
abilene,42,99,0.23271189630031583,0.16375042498111725,0.6035376787185669
abilene,42,100,0.2316013276576996,0.16324813663959503,0.6051505208015442
abilene,42,101,0.22432999312877652,0.15984593331813812,0.6158241033554077
abilene,42,102,0.23053677380084991,0.1626702696084976,0.6067929267883301
abilene,42,103,0.23613315820693967,0.16506069898605347,0.5988061428070068
abilene,42,104,0.23513001203536987,0.16457347571849823,0.6002964973449707
abilene,42,105,0.22775492072105408,0.1612248122692108,0.6110202670097351
abilene,42,106,0.21320153772830963,0.15298612415790555,0.6338123679161072
abilene,42,107,0.200569212436676,0.14489443600177765,0.6545364260673523
abilene,42,108,0.19654235243797305,0.14224201440811157,0.6612156033515929
abilene,42,109,0.19172203540802,0.13892240822315216,0.669355571269989
abilene,42,110,0.1949714720249176,0.14111478626728055,0.6639137268066406
abilene,42,111,0.19059972465038297,0.1381007730960846,0.6712995171546936
abilene,42,112,0.18956579267978668,0.13732193410396576,0.6731122732162476
abilene,42,113,0.18803466856479645,0.13624615967273712,0.6757190823554993
abilene,42,114,0.19219540059566495,0.1390666365623474,0.6687380075454712
abilene,42,115,0.20317614078521729,0.14610208570957184,0.6507217288017273
abilene,42,116,0.2122509926557541,0.15184788405895233,0.635901153087616
abilene,42,117,0.22397810220718384,0.15807008743286133,0.6179518103599548
abilene,42,118,0.22133119404315948,0.15682893991470337,0.6218398213386536
abilene,42,119,0.22806729376316073,0.15981097519397736,0.6121217012405396
abilene,42,120,0.21868094801902768,0.15555851161479947,0.625760555267334
abilene,42,121,0.23286996781826017,0.161760076880455,0.6053699851036072
abilene,42,122,0.2237960547208786,0.157696932554245,0.6185069680213928
abilene,42,123,0.22710867226123807,0.15904298424720764,0.6138483285903931
abilene,42,124,0.23824091255664823,0.16373442113399503,0.5980247259140015
abilene,42,125,0.23678162693977356,0.1630651354789734,0.6001532077789307
abilene,42,126,0.2474587708711624,0.16736087203025815,0.585180401802063
abilene,42,127,0.2609533667564392,0.1726910024881363,0.5663556456565857
abilene,42,128,0.2643412947654724,0.17395205795764923,0.5617066621780396
abilene,42,129,0.24007688462734225,0.16420225799083707,0.5957208275794983
abilene,42,130,0.21732512116432187,0.15421879291534424,0.6284561157226562
abilene,42,131,0.20198689401149747,0.14528590440750122,0.6527272462844849
abilene,42,132,0.19490939378738403,0.14067614078521729,0.6644144654273987
abilene,42,133,0.19440500438213348,0.1402449756860733,0.6653500199317932
abilene,42,134,0.18924149870872495,0.13683342933654785,0.6739250421524048
abilene,42,135,0.18718490004539487,0.13540387153625488,0.6774112582206726
abilene,42,136,0.18522244691848755,0.13402673602104187,0.680750846862793
abilene,42,137,0.18676218390464783,0.13493284583091736,0.6783050298690796
abilene,42,138,0.1912100315093994,0.1377236247062683,0.6710662841796875
abilene,42,139,0.1994945257902145,0.14296390116214752,0.6575415730476379
abilene,42,140,0.2072725594043732,0.14765578508377075,0.6450716257095337
abilene,42,141,0.22077648341655728,0.15423764288425443,0.624985933303833
abilene,42,142,0.2192707061767578,0.15352381765842435,0.627205491065979
abilene,42,143,0.2210101932287216,0.15425868332386017,0.6247311234474182
abilene,42,144,0.2301307022571564,0.1581384241580963,0.6117308735847473
abilene,42,145,0.224453330039978,0.15568266808986664,0.6198640465736389
abilene,42,146,0.22996219992637637,0.15800005197525024,0.6120378375053406
abilene,42,147,0.24546194076538083,0.16432474553585052,0.5902133584022522
abilene,42,148,0.24288782477378845,0.1632550209760666,0.5938571691513062
abilene,42,149,0.25166490674018854,0.1667174994945526,0.5816175937652588
geant,42,0,0.1034298688173294,0.3667740523815155,0.5297961831092833
geant,42,1,0.1031460464000702,0.36663013696670527,0.5302238464355469
geant,42,2,0.10590822249650957,0.3567704558372497,0.5373213291168213
geant,42,3,0.11262188106775284,0.33531907200813293,0.5520590543746948
geant,42,4,0.11756730824708939,0.32033354043960566,0.5620991587638855
geant,42,5,0.11941789090633392,0.3136350214481354,0.5669471025466919
geant,42,6,0.12284013628959656,0.30276879668235773,0.5743910670280457
geant,42,7,0.1261265128850937,0.29310548305511475,0.5807679891586304
geant,42,8,0.1255979090929031,0.29395192861557007,0.5804501175880432
geant,42,9,0.1252263635396957,0.2946420907974243,0.5801315307617188
geant,42,10,0.13124528527259827,0.2808791100978852,0.5878756642341614
geant,42,11,0.1366818994283676,0.2686608731746673,0.594657301902771
geant,42,12,0.14299994707107544,0.25552678108215326,0.6014732718467712
geant,42,13,0.14202114939689636,0.25732898712158203,0.6006498336791992
geant,42,14,0.14831790328025815,0.2448032349348068,0.606878936290741
geant,42,15,0.1507689654827118,0.24009425938129425,0.609136700630188
geant,42,16,0.1468842327594757,0.24759215116500852,0.6055236458778381
geant,42,17,0.1398278921842575,0.2616316080093384,0.5985405445098877
geant,42,18,0.13275673985481262,0.27670079469680786,0.5905424952507019
geant,42,19,0.12029065191745758,0.30543723702430725,0.574272096157074
geant,42,20,0.1068720445036888,0.3453073501586914,0.5478206872940063
geant,42,21,0.10797509551048277,0.34165799617767334,0.5503668785095215
geant,42,22,0.10484656691551208,0.3516279458999634,0.5435255169868469
geant,42,23,0.1088903322815895,0.3388056457042694,0.5523040294647217
geant,42,24,0.1118088811635971,0.3300721049308777,0.558118999004364
geant,42,25,0.11123601347208024,0.33210253715515137,0.5566614270210266
geant,42,26,0.1140804886817932,0.3237643539905548,0.5621551871299744
geant,42,27,0.11576649546623229,0.3186849355697632,0.5655485987663269
geant,42,28,0.12196438759565352,0.3014228343963623,0.5766127109527588
geant,42,29,0.12518595159053802,0.2937740683555603,0.5810399055480957
geant,42,30,0.12879447638988495,0.2854335308074951,0.5857720375061035
geant,42,31,0.13366293907165527,0.27461898326873774,0.5917180180549622
geant,42,32,0.13465918600559235,0.27252721786499023,0.5928136110305786
geant,42,33,0.1270952075719833,0.2893053591251373,0.5835994482040405
geant,42,34,0.13377268612384796,0.27455437183380127,0.5916728973388672
geant,42,35,0.14114093780517578,0.2590184807777405,0.599840521812439
geant,42,36,0.15040834248065948,0.2409730553627014,0.6086185574531555
geant,42,37,0.1484696269035339,0.2445959597826004,0.6069344282150269
geant,42,38,0.15307509899139404,0.2360348403453827,0.6108900904655457
geant,42,39,0.1562093049287796,0.2304416298866272,0.6133490204811096
geant,42,40,0.15933647751808167,0.22515174746513367,0.6155118346214294
geant,42,41,0.16475237905979156,0.21574643254280088,0.6195012331008911
geant,42,42,0.16217404603958127,0.2202782928943634,0.6175476908683777
geant,42,43,0.1554114669561386,0.23251229524612424,0.6120762825012207
geant,42,44,0.1514501720666885,0.2402024418115616,0.6083474159240723
geant,42,45,0.1421269178390503,0.25859469175338745,0.5992783904075624
