2.391521334648132324e-01,5.279102325439453125e-01,2.329376488924026489e-01
2.372773736715316772e-01,5.304374694824218750e-01,2.322851419448852539e-01
2.316202968358993530e-01,5.382899045944213867e-01,2.300897836685180664e-01
2.446423470973968506e-01,5.203903317451477051e-01,2.349673211574554443e-01
2.479247748851776123e-01,5.159502029418945312e-01,2.361250072717666626e-01
2.528946101665496826e-01,5.091968774795532227e-01,2.379084974527359009e-01
2.534106671810150146e-01,5.085413455963134766e-01,2.380480170249938965e-01
2.638290822505950928e-01,4.946134686470031738e-01,2.415574789047241211e-01
2.635026276111602783e-01,4.951031506061553955e-01,2.413942366838455200e-01
2.690743803977966309e-01,4.876686036586761475e-01,2.432570010423660278e-01
2.528525292873382568e-01,5.090392827987670898e-01,2.381081730127334595e-01
2.476348429918289185e-01,5.159130692481994629e-01,2.364520728588104248e-01
2.496541887521743774e-01,5.130107998847961426e-01,2.373349815607070923e-01
2.444092333316802979e-01,5.199560523033142090e-01,2.356347143650054932e-01
2.456620782613754272e-01,5.180826783180236816e-01,2.362552136182785034e-01
2.388679832220077515e-01,5.271931886672973633e-01,2.339388132095336914e-01
2.288952171802520752e-01,5.419055819511413574e-01,2.291991710662841797e-01
2.403393089771270752e-01,5.248750448226928711e-01,2.347856163978576660e-01
2.398928552865982056e-01,5.253680944442749023e-01,2.347390651702880859e-01
2.219085097312927246e-01,5.534555315971374512e-01,2.246359139680862427e-01
2.318313568830490112e-01,5.368487834930419922e-01,2.313198298215866089e-01
2.551826834678649902e-01,5.044506788253784180e-01,2.403666377067565918e-01
2.487022876739501953e-01,5.131098031997680664e-01,2.381879091262817383e-01
2.412747591733932495e-01,5.231645107269287109e-01,2.355607151985168457e-01
2.546067535877227783e-01,5.050597786903381348e-01,2.403334677219390869e-01
2.619621753692626953e-01,4.951110482215881348e-01,2.429267764091491699e-01
2.596619725227355957e-01,4.980738759040832520e-01,2.422641813755035400e-01
2.751171290874481201e-01,4.775825738906860352e-01,2.473003566265106201e-01
2.691520750522613525e-01,4.852239489555358887e-01,2.456239610910415649e-01
2.628082036972045898e-01,4.934886991977691650e-01,2.437030673027038574e-01
2.787702679634094238e-01,4.725442826747894287e-01,2.486854493618011475e-01
2.685953378677368164e-01,4.858250916004180908e-01,2.455796152353286743e-01
2.823899984359741211e-01,4.678131341934204102e-01,2.497968375682830811e-01
2.809393107891082764e-01,4.695190191268920898e-01,2.495416551828384399e-01
2.814487218856811523e-01,4.686218202114105225e-01,2.499294728040695190e-01
2.728029191493988037e-01,4.795809686183929443e-01,2.476161271333694458e-01
2.527990639209747314e-01,5.059249401092529297e-01,2.412760406732559204e-01
