dataset,seed,baseline,metric,baseline_value,adaptive_value,relative_improvement_pct
geant,44,固定等权,MAE,0.369110763073,0.354404777288,3.984166070522182
geant,44,DLinear,RMSE,0.6709731221199036,0.6416246294975281,4.374019115646615
geant,44,固定等权,RMSE,0.659216463566,0.641624629498,2.668597500256264
geant,45,DLinear,MSE,0.4342065751552582,0.43413689732551575,0.016047161358051086
geant,45,固定等权,MSE,0.434914380312,0.434136897326,0.17876690705012951
geant,45,DLinear,MAE,0.36817029118537903,0.3736204504966736,-1.480336529530114
geant,45,固定等权,MAE,0.368920087814,0.373620450497,-1.2740869468104987
geant,45,DLinear,RMSE,0.6589435338973999,0.6588906645774841,0.008023346037416834
geant,45,固定等权,RMSE,0.659480392933,0.658890664577,0.08942318260247843
geant,46,DLinear,MSE,0.41939446330070496,0.43199872970581055,-3.005348784508955
geant,46,固定等权,MSE,0.455849796534,0.431998729706,5.232220571194447
geant,46,DLinear,MAE,0.35892003774642944,0.37180835008621216,-3.590858961429196
geant,46,固定等权,MAE,0.383417338133,0.371808350086,3.0277681503732805
geant,46,DLinear,RMSE,0.6476067304611206,0.6572660803794861,-1.4915456347230447
geant,46,固定等权,RMSE,0.675166487694,0.657266080379,2.6512582661112214
geant,47,DLinear,MSE,0.42851296067237854,0.40995967388153076,4.329690929706272
geant,47,固定等权,MSE,0.474755585194,0.409959673882,13.648267304853798
geant,47,DLinear,MAE,0.3678215742111206,0.3535219728946686,3.8876461629856447
geant,47,固定等权,MAE,0.394942343235,0.353521972895,10.487700559206415
geant,47,DLinear,RMSE,0.6546090245246887,0.6402809619903564,2.188796976139441
geant,47,固定等权,RMSE,0.689025104046,0.64028096199,7.074363730693022
geant,48,DLinear,MSE,0.42664507031440735,0.40955668687820435,4.005292601555215
geant,48,固定等权,MSE,0.458297014236,0.409556686878,10.635095984479001
geant,48,DLinear,MAE,0.3618834614753723,0.35391196608543396,2.202779689748504
geant,48,固定等权,MAE,0.384793102741,0.353911966085,8.02538726292757
geant,48,DLinear,RMSE,0.653180718421936,0.6399661898612976,2.0231045081312735
geant,48,固定等权,RMSE,0.676976382732,0.639966189861,5.466984346136572
geant,49,DLinear,MSE,0.4225720167160034,0.42328310012817383,-0.16827508307259864
geant,49,固定等权,MSE,0.44634437561,0.423283100128,5.166700140554727
geant,49,DLinear,MAE,0.3587739169597626,0.36233294010162354,-0.9919960659403553
geant,49,固定等权,MAE,0.375450968742,0.362332940102,3.493939217670354
geant,49,DLinear,RMSE,0.6500554084777832,0.6506021022796631,-0.08409956978283753
geant,49,固定等权,RMSE,0.668090105057,0.65060210228,2.6176114037054736
