model,mse_mean,mse_std,mae_mean,mae_std,raw_rmse_mean,seconds_mean
dlinear_freq,0.1954777091741562,0.0011382031744489166,0.19004073242346445,0.008711049053881917,12979540309.333334,19.98794623333318
proposed,0.18944748242696127,0.005119422384050359,0.17054342230161032,0.0007285360664954934,12979520512.0,93.93175850000019
