model,seed,parameters,mse,mae,rmse,raw_rmse,seconds
dlinear_freq,42,4692,0.19547870755195618,0.1893886774778366,0.4421297311782837,12979536896.0,18.56784179999977
dlinear_freq,43,4692,0.19433900713920593,0.1816740334033966,0.4408389925956726,12979543040.0,23.03627189999952
dlinear_freq,44,4692,0.19661541283130646,0.19905948638916016,0.4434133768081665,12979540992.0,18.359725000000253
proposed,42,8402,0.1872505098581314,0.17002986371517181,0.4327245056629181,12979516416.0,104.97152929999993
proposed,43,8402,0.18579323589801788,0.1702231764793396,0.43103739619255066,12979522560.0,85.89844910000011
proposed,44,8402,0.1952987015247345,0.17137722671031952,0.44192612171173096,12979522560.0,90.92529710000053
