model,seed,parameters,mse,mae,rmse,raw_rmse,seconds
dlinear_freq,42,4680,0.19685900211334229,0.19108055531978607,0.44368794560432434,12979538944.0,18.350874199999453
dlinear_freq,43,4680,0.1967492252588272,0.18440401554107666,0.443564236164093,12979565568.0,22.373864400000457
dlinear_freq,44,4680,0.19793519377708435,0.19978344440460205,0.4448990821838379,12979539968.0,18.627543999999943
proposed,42,8381,0.19083210825920105,0.17342692613601685,0.4368433356285095,12979518464.0,100.9034171000003
proposed,43,8381,0.187635138630867,0.17263105511665344,0.4331687092781067,12979524608.0,83.63654260000021
proposed,44,8381,0.1988297402858734,0.17425717413425446,0.4459032714366913,12979522560.0,92.64994690000003
