model,seed,parameters,mse,mae,rmse,raw_rmse,seconds
proposed_static,42,8271,0.19600801169872284,0.1892322152853012,0.4427279233932495,12979534848.0,28.19773040000109
proposed_static,43,8271,0.1959282010793686,0.19886647164821625,0.44263777136802673,12979540992.0,27.96530949999942
proposed_static,44,8271,0.19849081337451935,0.19006720185279846,0.44552308320999146,12979537920.0,30.220366900000954
