dataset,dataset_label,metric,baseline,baseline_label,seed,baseline_error,adaptive_error,reduction_pct,aggregate_reduction_from_3seed_means_pct,adaptive_better
abilene,Abilene,MSE,dlinear,DLinear,42,0.19404634833335876,0.18552349507808685,4.392173997848295,4.064331438521018,True
abilene,Abilene,MSE,dlinear,DLinear,43,0.19238583743572235,0.18445460498332977,4.122565651456784,4.064331438521018,True
abilene,Abilene,MSE,dlinear,DLinear,44,0.19551776349544525,0.18831947445869446,3.681654755077271,4.064331438521018,True
abilene,Abilene,MSE,lightts,LightTS,42,0.27845314145088196,0.18552349507808685,33.373531319698735,29.89147851379362,True
abilene,Abilene,MSE,lightts,LightTS,43,0.259255975484848,0.18445460498332977,28.852322636586614,29.89147851379362,True
abilene,Abilene,MSE,lightts,LightTS,44,0.25862428545951843,0.18831947445869446,27.18414895797887,29.89147851379362,True
abilene,Abilene,MAE,dlinear,DLinear,42,0.186801016330719,0.16804689168930054,10.039626662531377,10.524849915488705,True
abilene,Abilene,MAE,dlinear,DLinear,43,0.17921601235866547,0.1688472330570221,5.785632190550198,10.524849915488705,True
abilene,Abilene,MAE,dlinear,DLinear,44,0.19794736802577972,0.16771386563777924,15.27350562401164,10.524849915488705,True
abilene,Abilene,MAE,lightts,LightTS,42,0.21295683085918427,0.16804689168930054,21.088752583653918,17.650622542234085,True
abilene,Abilene,MAE,lightts,LightTS,43,0.1991196572780609,0.1688472330570221,15.203131943304246,17.650622542234085,True
abilene,Abilene,MAE,lightts,LightTS,44,0.20068830251693726,0.16771386563777924,16.43067207485853,17.650622542234085,True
geant,GÉANT,MSE,dlinear,DLinear,42,0.44988271594047546,0.39875033497810364,11.365713585035175,4.433012612192105,True
geant,GÉANT,MSE,dlinear,DLinear,43,0.46296972036361694,0.49220040440559387,-6.313735597874332,4.433012612192105,False
geant,GÉANT,MSE,dlinear,DLinear,44,0.4502049684524536,0.4116821587085724,8.556726922917031,4.433012612192105,True
geant,GÉANT,MSE,lightts,LightTS,42,0.7893001437187195,0.39875033497810364,49.48051914707302,46.82910708347595,True
geant,GÉANT,MSE,lightts,LightTS,43,0.8340440392494202,0.49220040440559387,40.98628115026888,46.82910708347595,True
geant,GÉANT,MSE,lightts,LightTS,44,0.8265542984008789,0.4116821587085724,50.19296862831067,46.82910708347595,True
geant,GÉANT,MAE,dlinear,DLinear,42,0.3771122097969055,0.34954139590263367,7.311037186815077,3.4617476258158106,True
geant,GÉANT,MAE,dlinear,DLinear,43,0.388968825340271,0.40492209792137146,-4.101427040366152,3.4617476258158106,False
geant,GÉANT,MAE,dlinear,DLinear,44,0.3825499415397644,0.3544047772884369,7.357252268303366,3.4617476258158106,True
geant,GÉANT,MAE,lightts,LightTS,42,0.5293365716934204,0.34954139590263367,33.96613523520532,29.286164656831716,True
geant,GÉANT,MAE,lightts,LightTS,43,0.5071224570274353,0.40492209792137146,20.152994151575268,29.286164656831716,True
geant,GÉANT,MAE,lightts,LightTS,44,0.5316475033760071,0.3544047772884369,33.338391502276174,29.286164656831716,True
